word,class,sentence,word_mean
about,adverb,What are you talking about?,"on the subject of, or connected with"
above,preposition,"Michael Knight, a young loner... on a crusade to champion the cause of the innocent... the helpless, the powerless... in a world of criminals who operate above the law.",in or to a higher position than something else
across,adverb,I hope I can make it across the border.,"from one side to the other of something with clear limits , such as an area of land , a road , or a river"
action,noun,Tell them to stop taking in action.,"the process of doing something, especially when dealing with a problem or difficulty"
activity,noun,Enemy activity in his old sector dropped off to nothing.,the situation in which a lot of things are happening or people are moving around
actor,noun,No wonder your president has to be an actor.,"someone who pretends to be someone else while performing in a film , play , or television or radio programme"
actress,noun,The Actress in the Mirror...,"a woman who pretends to be someone else while performing in a film , play , or television programme"
add,verb,Would you add this to your outgoing mail?,to put two or more numbers or amounts together to get a total
address,noun,I'll give you the address.,"the number of the house , name of the road , and name of the town where a person lives or works , and where letters can be sent"
adult,noun,"If you act like an adult and give up,",a person or animal that has grown to full size and strength
advice,noun,Let me give you some advice.,an opinion that someone offers you about what you should do or how you should act in a particular situation
afraid,adjective,What are you afraid of?,"feeling fear , or feeling worry about the possible results of a particular situation"
afternoon,noun,"Good afternoon, ladies and gentlemen.",the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down
again,adverb,You can say that again.,one more time
age,noun,They're the modern stone age family,the period of time someone has been alive or something has existed
ago,adverb,That was a long time ago.,back in time from the present
agree,verb,I couldn't agree with you more.,to have the same opinion
air,noun,You're on the air.,the mixture of gases that surrounds the earth and that we breathe
airport,noun,Maybe your car can take me to the airport.,"a place where aircraft regularly take off and land , with buildings for passengers to wait in"
also,adverb,Also starring... as Sergeant Carter.,in addition
always,adverb,I have always wanted to have a neighbor just like you.,every time or all the time
amazing,adjective,It's amazing what you can accomplish by mail.,extremely surprising
and,conjunction,"Good evening, ladies and gentlemen.","used to join two words, phrases , parts of sentences , or related statements together"
angry,adjective,Are you angry with me?,"having a strong feeling against someone who has behaved badly , making you want to shout at them or hurt them"
animal,noun,So they beat her like an animal.,"something that lives and moves but is not a human , bird , fish , or insect"
another,determiner,Let me put it another way.,one more person or thing or an extra amount
answer,noun,Does that answer your question?,"a reaction to a question , letter , phone call , etc"
anyone,pronoun,Is there anyone alive out there?,"used in questions and negatives to mean ""a person or people """
anything,pronoun,Is there anything I can do?,"used in questions and negatives to mean ""something"""
apartment,noun,To a deluxe apartment in the sky,"a set of rooms for living in, especially on one floor of a building : | a set of large rooms with expensive furniture and decoration in, for example , a public building or castle"
apple,noun,Cream-colored ponies And crisp apple strudels,"a round fruit with firm , white flesh and a green , red , or yellow skin"
April,noun,"Drip, drip, drop Little April shower","the fourth month of the year , after March and before May"
area,noun,Mr. Stevens visited nearly a dozen banks in the Portland area that morning.,"a particular part of a place , piece of land , or country"
arm,noun,Let go of my arm.,weapons and equipment used to kill and injure people : | either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end
