word,class,sentence,word_mean
ability,noun,But it is exactly the ability to compromise that makes a man noble.,the physical or mental power or skill needed to do something
able,adjective,Able to leap tall buildings at a single bound.,"to have the necessary physical strength , mental power , skill , time , money , or opportunity to do something"
abroad,adverb,I hope you'll enjoy living abroad.,in or to a foreign country or countries
accept,verb,Will you accept the charges?,to agree to take something
accident,noun,It was just an accident.,something bad that happens that is not expected or intended and that often damages something or injures someone
achieve,verb,For the qualities and energies which lead a man to achieve the first are often the very cause of his ruin in the latter case.,"to succeed in finishing something or reaching an aim , especially after a lot of work or effort"
active,adjective,Active is pinging back something really big.,busy with a particular activity
actually,adverb,I can't believe I'm actually doing this.,in fact or really
advantage,noun,They made her drink whiskey and then they tried to take advantage of her.,a condition giving a greater chance of success
adventure,noun,"Now more than ever, Adventure!","an unusual , exciting , and possibly dangerous activity , such as a trip or experience , or the excitement produced by such an activity"
affect,verb,It won't affect the test.,"to have an influence on someone or something, or to cause a change in someone or something"
after,adverb,As Roger Ramjet and his men Get all the crooks they're after.,"following in time , place , or order"
against,preposition,Anything you say can and will be used against you in a court of law.,disagreeing with a plan or activity
ah,exclamation,Ah ha ha ha ha!,"used to express understanding , pleasure , pain , surprise , or the fact that you have noticed something"
alive,adjective,Is there anyone alive out there?,"living , not dead"
all,adverb,You'll be all right.,"every one (of), or the complete amount or number (of), or the whole (of)"
allow,verb,Allow me to introduce myself.,"to give permission for someone to do something, or to not prevent something from happening"
almost,adverb,You almost gave me a heart attack.,nearly
alone,adjective,Why don't you leave me alone?,without other people
along,preposition,I'll go along with that.,"from one part of a road , river , etc. to another"
already,adverb,"Somehow, he must convince a disbelieving world that the nightmare has already begun.",before the present time
although,conjunction,Although you took very thorough precautions in the pod against my hearing you I could see your lips move.,despite the fact that
among,preposition,Or maybe make a few friends among us cons.,in the middle of or surrounded by other things
ancient,adjective,"A time of myth and legend, when the ancient gods were petty and cruel, and they plagued mankind with suffering.","of or from a long time ago, having lasted for a very long time"
any,adverb,It doesn't make any sense.,"some, or even the smallest amount or number of"
anybody,pronoun,It could happen to anybody.,→ anyone
anyway,adverb,What are you doing here anyway?,"whatever else is happening , without considering other things: | informal for anyway"
anywhere,pronoun,You're not going anywhere.,"in, to, or at any place"
appear,verb,We hope you'll sign a contract to appear five times a year.,to start to be seen or to be present
