word,sentence,word_mean
joint,Folks around this joint love surprise inspections.,belonging to or shared between two or more people
japan,All the best stuff is made in Japan.,a country in East Asia formed of a group of islands
chose,"You chose your way, I chose mine.",past simple of choose
guarantee,"If you're worried about security, the Tattaglias will guarantee it.","a promise that something will be done or will happen , especially a written promise by a company to repair or change a product that develops a fault within a particular period of time"
assure,I can assure you of that.,"to tell someone confidently that something is true , especially so that they do not worry"
federal,Federal banks ain't supposed to stop you in any way during a robbery.,"relating to the central government , and not to the government of a region , of some countries such as the US"
witnesses,"He's got witnesses, five or six of them.","a person who sees an event happening , especially a crime or an accident"
piano,Do you play the piano?,a large musical instrument with a row of black and white keys that are pressed to play notes
vegas,I'm putting you on a plane to Vegas.,"the largest city in the southwestern US state of Nevada, which is famous for its entertainment and casinos (= places where one can bet money in games and on machines )"
closing,They're closing the doors!,"coming near the end of a speech , event , activity , etc"
remains,That remains to be seen.,"pieces or parts of something that continue to exist when most of it has been used, destroyed , or taken away"
grandmother,"After the war was over, he paid a visit to your grandmother, delivering to your infant father his dad's gold watch.",the mother of a person's father or mother
chosen,Some get chosen and become television programs.,past participle of choose
houses,We could have been tarring the roof of one of our own houses.,"a building that people , usually one family , live in"
ross,Joe E. Ross as Sgt. Ritzik.,abbreviation for return on sales
tiger,You gonna drive around with a tiger in your passenger seat?,a large wild animal of the cat family with yellowish-orange fur with black lines that lives in parts of Asia
garbage,Shut down all the garbage mashers on the detention level!,waste material or unwanted things that you throw away
texas,Deep in the heart of Texas,"a state in the southern US on the coast of the Gulf of Mexico, whose capital city is Austin"
spy,You can come spy on me if you like.,a person who secretly collects and reports information about the activities of another country or organization
glory,Glory be to the Father,"praise and thanks , especially as given to God"
reputation,You're getting a great reputation!,"the opinion that people in general have about someone or something, or how much respect or admiration someone or something receives , based on past behaviour or character"
brother's,for he is truly his brother's keeper...,used as a way of saying that you are not responsible for what someone else does or for what happens to them
pissed,It pissed the warden off something awful.,drunk
photos,Did you get your precious photos?,a photograph
device,I've designed this tracking device.,an object or machine that has been invented for a particular purpose
hundreds,Said he pulled hundreds of jobs.,"numbers between 100 and 1,000"
anne,"Anne, are you all right?","a wild plant with delicate , white flowers"
settled,An old claim that was settled under terms of absolute secrecy.,"If you feel settled in a job , school , etc., you have become familiar with it and are comfortable and happy there"
chain,"You know, the box and the chain thing.","a series of things of the same type connected in a line , or a series of people standing in a line"
mac,"Big Mac's a Big Mac, but they call it Le Big Mac.",a waterproof coat (= one that does not allow rain to pass through)
solve,How do you solve a problem like Maria?,to find an answer to a problem
marie,"starring Dick Van Dyke, Rose Marie, Morey Amsterdam, Larry",a device or a process for cooking foods that involves putting the food in a container into a pan of hot water
brand,Can't you feel a brand-new day,a type of product made by a particular company and sold under a particular name
prisoners,"All prisoners, return to your cellblocks.",a person who is kept in prison as a punishment
theater,You can walk into a movie theater in Amsterdam and buy a beer.,US spelling of theatre
committee,Appropriations Committee voted an annual payment of 500 just to shut him up.,a small group of people chosen to represent a larger organization and either make decisions or collect information for it
terry,"Marky, Ricky, Danny, Terry, Mikey, Davey, Timmy, Tommy, Joey, Robby, Johnny and Brian.","a type of thick cotton cloth with short threads on each side , used especially for making towels (= thick cloths used for drying )"
exact,"We're giving her a shot in the heart, so it's gotta be exact.","in great detail , or complete , correct , or true in every way"
salt,Back to the salt mines.,"a common white substance found in sea water and in the ground , used especially to add flavour to food or to preserve it"
panic,There's no need to panic.,a sudden strong feeling of fear that prevents reasonable thought and action
sand,How do you keep a wave upon the sand?,"a substance that consists of very small grains of rock , found on beaches and in deserts"
india,It's like one of them tigers from India.,a country in South Asia
robin,"When the red, red robin","a small , brown European bird with a red front , or a similar but slightly larger brown bird of North America"
chuckles,I haven't made up my mind. Chuckles,to laugh quietly
kingdom,"Thy kingdom come, thy will be done on earth as it is in heaven.",a country ruled by a king or queen
damned,It was outdoor detail and May is one damned fine month to be working outdoors.,used to express anger with someone or something
released,"Chances are, he'd be released by now.",past simple and past participle of release
searching,Searching for a way to tap into the hidden strengths that all humans have.,intended to find out the often hidden truth about something
spending,We're spending too much time together here.,"the money that is used for a particular purpose , especially by a government or organization"
rick,"Rick, have you got those letters of transit?",a large pile of straw or hay (= dried grass ) that has been built in a regular shape
