word,sentence,word_mean
ho,"Heigh-ho, heigh-ho It's home from work we go","an insulting word for a woman, especially one who is considered to have a lot of sexual partners"
sleeping,I have trouble sleeping at night.,in or relating to the state of sleep
rid,I'll get rid of him.,"to not now have an unwanted or unpleasant task , object , or person"
shoes,Put yourself in my shoes.,"one of a pair of coverings for your feet , usually made of a strong material such as leather , with a thick leather or plastic sole (= base ) and usually a heel"
laugh,They're all gonna laugh at you!,to smile while making sounds with your voice that show you think something is funny or you are happy
named,Then she marries this guy named Calvert.,past simple and past participle of name
folks,C'est la vie say the old folks It goes to show you never can tell,used when speaking informally to a group of people
planet,"By your powers combined, I am Captain Planet!","an extremely large , round mass of rock and metal , such as Earth , or of gas , such as Jupiter , that moves in a circular path around the sun or another star"
teacher,You're a teacher of the college.,someone whose job is to teach in a school or college
grand,Future Grand Prix Cyber Formula,important and large in degree
staying,How long are you staying?,present participle of stay
gives,This place gives me the creeps.,"to offer something to someone, or to provide someone with something"
upstairs,"Come on, let's go upstairs.",towards or on the highest floor or floors of a building
ray,"X-ray delta one, this is Mission Control.","a narrow beam of light , heat , etc. travelling in a straight line from its place of origin"
hadn't,I wish you hadn't said that.,short form of had not
search,Freed him to search for a one-armed man he saw leave the scene of the crime.,to look somewhere carefully in order to find something
queen,"He journeyed the earth, battling the minions of his wicked stepmother, Hera, the all-powerful queen of the gods.","a woman who rules a country because she has been born into a royal family , or a woman who is married to a king"
johnny,"Go, Johnny, go, go, go",a condom
holding,How are you holding up?,"something that you own such as shares in a company or buildings , or land that you rent and farm"
shop,Fell out of his nest over by the plate shop.,a place where you can buy goods or services
lots,"So come and join us, all you kids, For lots of fun and laughter",lots (of) a large amount or number of people or things
partner,I'm calling my partner in Toluca Lake.,a person or organization you are closely involved with in some way
moon,"In the name of the moon, I will punish you!",the round object that moves in the sky around the earth and can be seen at night
putting,You're putting me on.,present participle of put
jimmy,"How are you feeling, Jimmy?","a short , strong metal bar with a curved end, often used to force things open , for example by thieves to force open windows or doors"
cat,Look what the cat dragged in.,"a small animal with fur , four legs , a tail , and claws , usually kept as a pet or for catching mice"
paris,We'll always have Paris.,"the capital city of France, situated in the north central part of the country"
man's,"This man's hurt pretty bad, sir.","an area or strip of land that no one owns or controls , such as a strip of land between two countries ' borders , especially in a war"
west,We have to find a spot on the West Side.,"the direction in which the sun goes down in the evening , opposite to the east , or the part of an area or country that is in this direction"
books,"And behind every shady deal behind every dollar earned there was Andy, keeping the books.",the written records of money that a business has spent or received
decision,You made the right decision.,a choice that you make about something after thinking about several possibilities
self,This tape will self-destruct in five seconds.,"the set of someone's characteristics , such as personality and ability , that are not physical and make that person different from other people"
seriously,Don't take it so seriously.,badly or severely
silly,"Oh, how silly of me.",showing little thought or judgment
arm,Let go of my arm.,either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end
gift,"The IRS allows a one-time-only gift to your spouse for up to 60,000.",a present or something that is given
rules,Don't you know the rules?,"an accepted principle or instruction that states the way things are or should be done, and tells you what you are allowed or are not allowed to do"
girlfriend,I'll get a message to that girlfriend when the time is right.,a woman or girl who a person is having a romantic or sexual relationship with
nose,What happened to your nose?,"the part of the face that sticks out above the mouth , through which you breathe and smell"
low,How low can you go?,not measuring much from the base to the top
destroy,"You're going out there to destroy them, right?",to damage something so badly that it cannot be used
action,Tell them to stop taking in action.,"the process of doing something, especially when dealing with a problem or difficulty"
figured,I got it all figured out.,past simple and past participle of figure
innocent,"But wherever there was evil, wherever an innocent would suffer, there would be...",(of a person ) not guilty of a particular crime
smoke,Do you mind if I smoke?,"the grey , black , or white mixture of gas and very small pieces of carbon that is produced when something burns"
price,Two for the price of one.,the amount of money for which something is sold
match,And the signature was a spot-on match.,a sports competition or event in which two people or teams compete against each other
department,This is the Los Angeles Police Department.,"a part of an organization such as a school , business , or government that deals with a particular area of study or work"
guard,Guard it with your life.,"a person or group of people whose job is to protect a person , place , or thing from danger or attack , or to prevent a person such as a criminal from escaping"
glass,Would you like a glass of wine?,"a hard, transparent material , used to make windows , bottles , and other objects"
