word,sentence,word_mean
everyone's,And everyone's in on it!,being talked about by a lot of people
sue,"What about you, Peggy Sue?","to take legal action against a person or organization , especially by making a legal claim for money because of some harm that they have caused you"
grade,What grade are you in?,"a level of quality , size , importance , etc"
false,Cleared of all these false charges.,"not real , but made to look or seem real"
snake,"He is a snake, that's what he is.",a reptile with a long body and no legs
wheel,Put your hands on the wheel.,"a circular object connected at the centre to a bar , used for making vehicles or parts of machines move"
rooms,I'll show you to your rooms.,"a set of rented rooms, especially in a college or university"
governor,The governor of Colorado is expected to declare a weather emergency.,a person in charge of a particular political unit
negative,I wanna see a negative before I provide you with a positive.,"expressing ""no"""
stealing,Stealing kisses from me on the sly,to take something without the permission or knowledge of the owner and keep it
fail,That is why you fail.,to not succeed in what you are trying to achieve or are expected to do
piss,You don't need to ask me every time you need to go take a piss.,urine
healthy,You're only as healthy as you feel.,strong and well
friendship,You never wanted my friendship.,a situation in which two people are friends
advantage,They made her drink whiskey and then they tried to take advantage of her.,a condition giving a greater chance of success
ordinary,Nothing out of the ordinary.,not different or special or unexpected in any way; usual
rice,What's in the rice bag?,"the small seeds of a particular type of grass , cooked , and eaten as food"
image,We can deluge you with a thousand channels... or expand one single image to crystal clarity... and beyond.,a picture in your mind or an idea of how someone or something is
pulling,You're pulling my leg.,present participle of pull
source,How far are we from the source of transmission?,"the place something comes from or starts at, or the cause of something"
tower,He's at the uplink tower.,"a tall , narrow structure , often square or circular , that either forms part of a building or stands alone"
americans,"I don't say that you Americans win, but we lose.",of or relating to the United States of America
plate,Fell out of his nest over by the plate shop.,"a flat , usually round dish with a slightly raised edge that you eat from or serve food from"
physical,But then I got orders for my physical.,relating to the body
millions,"He married, of course, and inherited his millions.","numbers between 1,000,000 and 1,000,000,000"
cos,"That boar had to set off the trip flare, Major, cos there ain't no other tracks.",not standard for because
winner,"The winner takes his enemy's head... and with it, his power.","someone who wins a game , competition , or election"
chances,We can't take any chances.,an occasion that allows something to be done
jenny,"Jenny, where'd you run to?","a low , spreading , evergreen plant (= one that never loses its leaves ) with round leaves and bright yellow flowers that grows in wet areas"
artist,"Your daughter, she's the artist?","someone who paints , draws , or makes sculptures"
violence,The problem of criminal violence is soon to be a thing of the past.,actions that are intended or likely to hurt people or cause damage
bastards,A bunch of ball-washing bastards!,an unpleasant person
row,"Row, row, row your boat","a line of things, people , animals , etc. arranged next to each other"
joking,You've got to be joking.,present participle of joke
claim,An old claim that was settled under terms of absolute secrecy.,"to say that something is true or is a fact , although you cannot prove it and other people might not believe it"
location,He'll try to make the precise location appear on the monitor.,a place or position
mighty,They can't escape their awful fate from Proton's mighty fury.,"very large , powerful , or important"
university,But the purpose of university is to find a suitable husband.,a place where people study for an undergraduate (= first) or postgraduate (= higher level ) degree
troops,Imperial troops have entered the base.,soldiers on duty in a large group
senator,"How do you do, Senator?",a politician who has been elected to a Senate
unusual,What's so unusual about that?,"different from others of the same type in a way that is surprising , interesting , or attractive"
circumstances,Surrender is a perfectly acceptable alternative in extreme circumstances.,how much money someone has
focus,We can change the focus to a soft blur or sharpen it to crystal clarity.,"the main or central point of something, especially of attention or interest"
giant,"That's one small step for man, one giant leap for mankind.","an imaginary creature like a man but extremely tall , strong , and usually very cruel , appearing especially in children's stories"
tail,We could put a tail on them.,"a part of an animal's body , sticking out from the base of the back, or something similar in shape or position"
arrive,What time does our train arrive?,"to reach a place , especially at the end of a journey"
disgusting,"This is one smelly, disgusting...",extremely unpleasant or unacceptable
fifty,Playin' solitaire 'til dawn with a deck of fifty-one,the number 50
newspaper,I think it would be fun to run a newspaper.,"a regularly printed document consisting of large sheets of paper that are folded together, or a website , containing news reports , articles , photographs , and advertisements"
hunting,"From the witching end, not the hunting.","chasing and killing an animal or bird for food , sport , or profit"
